Month,LosAngeles,SanDiego,SanFrancisco
Jan-90,"$215,338 ","$180,484 ","$287,499 "
Feb-90,"$208,399 ","$180,714 ","$300,877 "
Mar-90,"$208,135 ","$183,701 ","$290,151 "
Apr-90,"$219,004 ","$181,567 ","$288,725 "
May-90,"$209,065 ","$180,794 ","$282,626 "
Jun-90,"$210,606 ","$186,733 ","$305,738 "
Jul-90,"$225,251 ","$185,861 ","$296,195 "
Aug-90,"$213,478 ","$185,639 ","$284,523 "
Sep-90,"$211,552 ","$186,272 ","$278,301 "
Oct-90,"$207,801 ","$179,444 ","$272,500 "
Nov-90,"$202,717 ","$176,980 ","$281,249 "
Dec-90,"$212,855 ","$181,470 ","$272,777 "
Jan-91,"$197,706 ","$182,000 ","$270,161 "
Feb-91,"$199,157 ","$178,888 ","$270,714 "
Mar-91,"$207,940 ","$183,111 ","$268,055 "
Apr-91,"$213,442 ","$183,114 ","$279,941 "
May-91,"$218,892 ","$188,732 ","$280,319 "
Jun-91,"$224,055 ","$188,509 ","$291,666 "
Jul-91,"$230,028 ","$190,000 ","$294,339 "
Aug-91,"$220,858 ","$198,522 ","$286,499 "
Sep-91,"$231,449 ","$181,046 ","$278,921 "
Oct-91,"$209,256 ","$183,088 ","$275,862 "
Nov-91,"$202,237 ","$181,639 ","$282,608 "
Dec-91,"$222,829 ","$188,817 ","$279,310 "
Jan-92,"$213,951 ","$182,978 ","$267,262 "
Feb-92,"$207,018 ","$177,884 ","$268,750 "
Mar-92,"$218,844 ","$187,428 ","$272,222 "
Apr-92,"$211,762 ","$182,727 ","$281,418 "
May-92,"$204,440 ","$190,481 ","$277,419 "
Jun-92,"$211,278 ","$182,937 ","$288,207 "
Jul-92,"$221,820 ","$188,218 ","$275,819 "
Aug-92,"$212,099 ","$178,986 ","$279,166 "
Sep-92,"$212,738 ","$185,909 ","$276,666 "
Oct-92,"$201,149 ","$182,313 ","$265,151 "
Nov-92,"$207,083 ","$181,709 ","$258,019 "
Dec-92,"$214,005 ","$180,571 ","$258,807 "
Jan-93,"$207,810 ","$174,895 ","$258,772 "
Feb-93,"$195,681 ","$176,960 ","$251,667 "
Mar-93,"$198,013 ","$173,481 ","$266,101 "
Apr-93,"$197,547 ","$177,710 ","$265,530 "
May-93,"$188,159 ","$178,787 ","$258,846 "
Jun-93,"$198,428 ","$180,937 ","$267,021 "
Jul-93,"$209,132 ","$176,874 ","$259,052 "
Aug-93,"$205,319 ","$179,624 ","$259,052 "
Sep-93,"$204,656 ","$173,267 ","$258,019 "
Oct-93,"$196,762 ","$181,805 ","$262,500 "
Nov-93,"$192,945 ","$174,041 ","$263,983 "
Dec-93,"$201,134 ","$175,624 ","$265,384 "
Jan-94,"$194,086 ","$175,078 ","$255,435 "
Feb-94,"$184,741 ","$176,060 ","$251,136 "
Mar-94,"$184,207 ","$178,454 ","$251,705 "
