Category: Autos & Vehicles

Week,hybrid car sale: (California),electric car sale: (California)
2018-08-05,32,26
2018-08-12,20,41
2018-08-19,33,33
2018-08-26,45,39
2018-09-02,38,52
2018-09-09,0,25
2018-09-16,25,65
2018-09-23,31,44
2018-09-30,12,13
2018-10-07,13,32
2018-10-14,13,26
2018-10-21,25,25
2018-10-28,39,19
2018-11-04,30,61
2018-11-11,0,38
2018-11-18,27,41
2018-11-25,60,25
2018-12-02,38,70
2018-12-09,13,26
2018-12-16,59,40
2018-12-23,0,0
2018-12-30,14,35
2019-01-06,24,31
2019-01-13,18,12
2019-01-20,32,51
2019-01-27,49,37
2019-02-03,12,19
2019-02-10,30,36
2019-02-17,44,50
2019-02-24,24,85
2019-03-03,24,31
2019-03-10,25,43
2019-03-17,25,58
2019-03-24,19,77
2019-03-31,26,26
2019-04-07,26,39
2019-04-14,45,53
2019-04-21,13,46
2019-04-28,50,57
2019-05-05,44,26
2019-05-12,19,57
2019-05-19,25,63
2019-05-26,19,45
2019-06-02,25,51
2019-06-09,44,39
2019-06-16,39,26
2019-06-23,59,53
2019-06-30,33,68
2019-07-07,25,45
2019-07-14,20,53
2019-07-21,13,33
2019-07-28,20,27
2019-08-04,20,39
2019-08-11,39,66
2019-08-18,31,64
2019-08-25,31,56
2019-09-01,98,100
