,Year,Usage
24,1990,5204.506395
23,1991,4879.208742
22,1992,5120.24095
21,1993,5062.419031
20,1994,5218.545736
19,1995,5213.745075
18,1996,5385.364689
17,1997,5530.367207
16,1998,5713.605775999999
15,1999,3281.04237
14,2000,3537.365305
13,2001,3567.008182
12,2002,4045.959496
11,2003,4820.226181
10,2004,5858.415539
9,2005,6325.460914
8,2006,6713.7074299999995
7,2007,6745.127186
6,2008,6909.270023
5,2009,6781.793216
4,2010,6617.350246
3,2011,6681.917726
2,2012,6902.840388
1,2013,6796.14887
0,2014,6859.133038
