County,Sector,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ALAMEDA,Residential,2895.491569,2987.473944,3000.871672,3025.99183,3022.056087,3016.614983,2996.156961,2971.616958,3118.38275,3025.561684,2898.154798,2937.329874,2811.727614,2745.259357,2926.151585,2890.777922,2791.332065,2674.834394,2615.308775,2548.457958,2774.566317,2529.229286,2465.000074,2515.20997,2498.265626
ALPINE,Residential,11.974975,13.424431,9.298178,9.093424,12.451971,13.029405,8.899778,9.326645,9.537211,8.090874,8.996372,6.352394,6.720953,6.858448,6.247035,6.597345,6.792005,6.373298,6.063832,6.231561,6.183168,6.812776,5.808735,6.165242,6.036978
AMADOR,Residential,134.805266,139.516716,141.039818,140.24162,139.982404,142.94773,144.135365,142.626229,142.579005,134.486227,135.731053,129.232694,126.498194,121.40646,127.238094,124.602037,123.223191,114.815322,115.017917,110.744724,110.372675,109.035503,105.907059,108.875556,105.093388
BUTTE,Residential,721.286274,730.982498,739.536468,726.302478,719.403746,731.892206,724.065281,715.052735,708.685816,686.092268,689.915946,658.820517,638.765166,604.727634,705.771423,629.151655,616.78238,597.449897,594.667475,559.101202,556.27639,551.043168,555.149304,553.073852,547.90157
CALAVERAS,Residential,192.867729,200.018332,201.710548,200.629843,198.068763,202.050995,200.684529,199.904684,195.080656,187.987183,189.278127,177.277281,175.359697,168.848427,173.581127,170.901347,167.369797,157.714415,153.829455,148.585115,146.123388,145.291775,140.066797,143.201069,138.299372
COLUSA,Residential,64.870282,64.849594,65.669299,64.39806,63.431713,65.593007,64.254493,64.189496,65.001533,63.477249,59.635552,58.228832,54.718416,53.398152,56.692548,54.987594,54.668412,54.037338,53.461666,50.557113,50.078667,49.733609,50.535778,50.731018,50.598114
CONTRA COSTA,Residential,2740.240644,2771.722517,2770.143237,2751.599891,2733.989451,2787.812326,2784.644845,2738.31578,2745.485523,2662.061392,2650.015448,2540.188182,2484.832635,2371.265356,2636.944329,2494.69814,2447.707554,2341.155238,2316.045847,2177.154476,2137.669934,2167.951542,2094.08336,2073.815256,2074.798616
DEL NORTE,Residential,110.048401,126.50157,127.726173,132.176036,133.51147,132.965611,136.525455,133.596613,127.85005,122.848691,121.92621,121.625989,117.072231,114.904332,113.613677,112.136921,110.065812,107.696817,139.830574,106.56661,110.776041,116.229421,106.383258,104.812778,90.982237
EL DORADO,Residential,722.993813,757.523468,765.48616,763.102125,763.815767,770.002846,771.05237,760.311706,760.010643,731.933785,723.30412,689.502505,665.922969,635.307528,659.062993,645.345931,634.835862,591.638586,576.954082,558.651068,548.553618,550.149822,529.892679,539.328355,524.585004
FRESNO,Residential,2704.396374,2693.670785,2706.850379,2591.30852,2546.317527,2615.705793,2550.603439,2521.674102,2489.883989,2377.024449,2351.390196,2299.324628,2157.222046,2082.563129,2280.804406,2109.267446,2053.58281,2033.819526,2015.17926,1895.082375,1874.339769,1832.378756,1865.168616,1840.839026,1785.87754
GLENN,Residential,91.396388,92.600924,93.406129,91.589762,91.116628,93.566425,92.111384,91.030965,91.728413,89.370165,87.503719,85.028453,83.143351,79.875324,85.040456,84.031922,82.05433,80.814743,81.231995,77.634517,77.620997,76.907618,78.46481,79.317239,78.498601
HUMBOLDT,Residential,395.855367,441.881333,465.70665,476.20178,478.969039,462.076678,440.395754,416.974615,381.075575,359.185691,338.045831,315.470915,308.796388,296.899316,310.699293,310.96757,294.940346,287.670931,279.05134,282.061741,273.032342,278.614872,269.871863,277.481786,276.637302
IMPERIAL,Residential,539.648944,534.947372,544.227415,518.542842,501.861949,517.55419,503.984111,522.237482,527.505515,486.254405,478.134462,476.988502,445.549367,464.963421,370.534379,403.588289,367.229676,350.996039,330.261908,304.076615,310.161299,67.399539,67.375904,77.573168,136.984365
INYO,Residential,61.033607,60.354511,60.963913,57.765555,57.759072,58.394708,54.909089,56.812374,52.930928,56.404796,57.033355,49.450452,49.335328,48.278468,50.571939,33.416124,33.776659,32.764011,32.911372,31.733539,32.704783,32.482845,32.188117,32.58166,32.221356
